,Open,Close,High,Low,Volume,Date
245,6.535,6.5825,6.695,6.525,,2021-05-18
246,6.4225,6.525,6.5675,6.33,,2021-05-17
247,7.1725,6.4375,7.1875,6.85,,2021-05-14
248,7.575,7.19,7.69,7.175,,2021-05-13
249,7.6425,7.575,7.6925,7.5,,2021-05-12
250,7.4725,7.595,7.715,7.4725,,2021-05-11
251,7.6675,7.48,7.705,7.4475,,2021-05-10
252,7.6325,7.7275,7.75,7.55,,2021-05-07
253,7.61,7.595,7.68,7.4625,,2021-05-06
254,7.5,7.5325,7.56,7.4075,,2021-05-05
255,7.32,7.4475,7.5825,7.3,,2021-05-04
256,7.4,7.3225,7.5825,7.24,,2021-05-03
257,7.025,7.4,7.4625,6.9925,,2021-04-30
258,6.8375,7.02,7.045,6.81,,2021-04-29
259,6.9775,6.8625,7.205,6.7625,,2021-04-28
260,6.885,6.955,7.205,6.805,,2021-04-27
261,6.61,6.805,6.805,6.61,,2021-04-26
262,6.53,6.555,6.585,6.3825,,2021-04-23
263,6.2425,6.505,6.505,6.235,,2021-04-22
264,6.095,6.255,6.285,6.045,,2021-04-21
265,5.93,6.065,6.1175,5.9275,,2021-04-20
266,5.8875,5.92,5.9675,5.8825,,2021-04-19
267,5.905,5.855,5.9475,5.8325,,2021-04-16
268,5.9425,5.9,6.015,5.8775,,2021-04-15
269,5.7975,5.94,5.9775,5.7875,,2021-04-14
270,5.69,5.8,5.845,5.655,,2021-04-13
271,5.7775,5.69,5.86,5.6725,,2021-04-12
272,5.79,5.7725,5.95,5.755,,2021-04-09
273,5.6075,5.7975,5.83,5.5925,,2021-04-08
274,5.5575,5.605,5.6225,5.5375,,2021-04-07
275,5.5375,5.5425,5.615,5.5225,,2021-04-06
276,5.6125,5.5325,5.645,5.4975,,2021-04-05
277,0.0,5.5975,0.0,0.0,,2021-04-02
278,5.75,5.5975,5.85,5.565,,2021-04-01
279,5.3825,5.6425,5.6425,5.3625,,2021-03-31
280,5.4625,5.3925,5.475,5.3375,,2021-03-30
281,5.5175,5.4675,5.52,5.4225,,2021-03-29
282,5.465,5.525,5.54,5.44,,2021-03-26
283,5.5225,5.465,5.525,5.415,,2021-03-25
284,5.51,5.5325,5.5375,5.4825,,2021-03-24
285,5.5125,5.5125,5.56,5.4775,,2021-03-23
286,5.58,5.49,5.5875,5.4675,,2021-03-22
287,5.4625,5.5775,5.59,5.455,,2021-03-19
288,5.5675,5.465,5.58,5.4525,,2021-03-18
289,5.54,5.58,5.585,5.52,,2021-03-17
290,5.495,5.5425,5.555,5.4675,,2021-03-16
291,5.37,5.495,5.5075,5.3275,,2021-03-15
292,5.45,5.4925,5.515,5.445,,2021-03-12
293,5.47,5.55,5.5625,5.47,,2021-03-11
294,5.645,5.4775,5.645,5.475,,2021-03-10
295,5.65,5.62,5.65,5.5425,,2021-03-09
296,5.6525,5.65,5.7125,5.57,,2021-03-08
297,5.45,5.62,5.6475,5.445,,2021-03-05
298,5.5025,5.4625,5.5425,5.46,,2021-03-04
299,5.6,5.5025,5.6,5.48,,2021-03-03
300,5.4725,5.6075,5.64,5.42,,2021-03-02
301,5.605,5.475,5.625,5.47,,2021-03-01
302,5.545,5.555,5.565,5.4625,,2021-02-26
303,5.59,5.5475,5.605,5.425,,2021-02-25
304,5.535,5.5925,5.6075,5.52,,2021-02-24
305,5.5075,5.5375,5.595,5.5,,2021-02-23
306,5.4425,5.51,5.515,5.435,,2021-02-22
307,5.4925,5.4275,5.555,5.4075,,2021-02-19
308,5.5275,5.5025,5.545,5.48,,2021-02-18
309,5.52,5.53,5.5475,5.475,,2021-02-17
310,5.47,5.5225,5.5275,5.385,,2021-02-16
311,5.41,5.3875,5.4625,5.3675,,2021-02-12
312,5.3225,5.41,5.465,5.2475,,2021-02-11
313,5.56,5.345,5.5625,5.3175,,2021-02-10
314,5.65,5.5625,5.7425,5.45,,2021-02-09
315,5.4875,5.6375,5.6575,5.4875,,2021-02-08
316,5.485,5.485,5.5225,5.455,,2021-02-05
317,5.52,5.5,5.58,5.47,,2021-02-04
318,5.4325,5.52,5.525,5.365,,2021-02-03
319,5.4975,5.43,5.525,5.4025,,2021-02-02
320,5.49,5.4925,5.5575,5.39,,2021-02-01
321,5.345,5.47,5.5375,5.3325,,2021-01-29
322,5.3325,5.345,5.505,5.29,,2021-01-28
323,5.325,5.34,5.4375,5.295,,2021-01-27
324,5.13,5.3225,5.3425,5.08,,2021-01-26
325,5.0,5.115,5.155,4.925,,2021-01-25
326,5.225,5.005,5.2275,4.9925,,2021-01-22
327,5.21,5.2425,5.315,5.1925,,2021-01-21
328,5.25,5.22,5.265,5.1275,,2021-01-20
329,5.315,5.26,5.3425,5.2325,,2021-01-19
330,5.34,5.315,5.365,5.2775,,2021-01-15
331,5.23,5.3425,5.365,5.19,,2021-01-14
332,5.24,5.245,5.415,5.2225,,2021-01-13
333,4.915,5.1725,5.1725,4.8925,,2021-01-12
334,4.965,4.9225,5.005,4.9025,,2021-01-11
335,4.94,4.9625,4.995,4.925,,2021-01-08
336,4.95,4.94,4.96,4.8725,,2021-01-07
337,4.925,4.95,5.0275,4.915,,2021-01-06
338,4.845,4.9175,4.96,4.825,,2021-01-05
339,4.8725,4.8375,4.9775,4.795,,2021-01-04
340,4.74,4.84,4.8575,4.73,,2020-12-31
341,4.66,4.745,4.76,4.62,,2020-12-30
342,4.5575,4.66,4.6725,4.535,,2020-12-29
343,4.52,4.565,4.575,4.48,,2020-12-28
344,4.4675,4.51,4.515,4.465,,2020-12-24
345,4.4275,4.4725,4.4975,4.415,,2020-12-23
346,4.4,4.435,4.4425,4.3725,,2020-12-22
347,4.38,4.4,4.4075,4.3025,,2020-12-21
348,4.3225,4.375,4.385,4.32,,2020-12-18
349,4.2625,4.325,4.33,4.2425,,2020-12-17
350,4.2525,4.2725,4.2925,4.2375,,2020-12-16
351,0.0,4.2475,4.2525,4.205,,2020-12-15
352,4.2475,4.1925,4.2975,4.22,,2020-12-14
353,4.22,4.2425,4.245,4.175,,2020-12-11
354,4.22,4.2025,4.2575,4.2,,2020-12-10
355,4.18,4.22,4.2225,4.18,,2020-12-09
356,4.1875,4.17,4.19,4.155,,2020-12-08
357,4.1525,4.195,4.21,4.12,,2020-12-07
358,4.2225,4.17,4.2275,4.1575,,2020-12-04
359,4.1925,4.225,4.2325,4.1775,,2020-12-03
360,4.145,4.19,4.1975,4.09,,2020-12-02
361,4.2,4.1475,4.23,4.14,,2020-12-01
362,4.275,4.1975,4.305,4.1825,,2020-11-30
363,4.2025,4.255,4.2625,4.185,,2020-11-27
364,4.26,4.2,4.275,4.2,,2020-11-25
365,4.2575,4.2575,4.265,4.165,,2020-11-24
366,4.275,4.265,4.2975,4.235,,2020-11-23
367,4.2225,4.2325,4.28,4.215,,2020-11-20
368,4.245,4.225,4.255,4.1875,,2020-11-19
369,4.19,4.2575,4.285,4.185,,2020-11-18
370,4.175,4.2025,4.22,4.1725,,2020-11-17
371,4.09,4.1625,4.1675,4.09,,2020-11-16
372,4.075,4.105,4.1325,4.0375,,2020-11-13
373,4.1725,4.0825,4.185,4.0625,,2020-11-12
374,4.225,4.1725,4.28,4.1625,,2020-11-11
375,4.07,4.23,4.2725,4.0625,,2020-11-10
376,4.0575,4.075,4.1,4.0175,,2020-11-09
377,4.09,4.0675,4.12,4.0575,,2020-11-06
378,4.05,4.0925,4.1725,4.04,,2020-11-05
379,4.0,4.0525,4.06,3.965,,2020-11-04
380,3.9625,4.01,4.0325,3.9525,,2020-11-03
381,3.96,3.975,3.9775,3.93,,2020-11-02
382,3.9725,3.985,4.0,3.9425,,2020-10-30
383,4.01,3.985,4.0425,3.93,,2020-10-29
384,4.15,4.015,4.1525,4.005,,2020-10-28
385,4.1675,4.16,4.2225,4.155,,2020-10-27
386,4.1875,4.1775,0.0,4.1275,,2020-10-26
387,4.1925,4.1875,4.1975,4.17,,2020-10-25
388,4.15,4.1925,4.2,4.14,,2020-10-23
389,4.1375,4.1625,4.19,4.1075,,2020-10-22
390,4.0825,4.1375,4.1525,4.0775,,2020-10-21
391,4.0425,4.0875,4.0975,4.035,,2020-10-20
392,4.0175,4.0525,4.0675,4.0075,,2020-10-19
393,4.0325,4.02,4.09,4.0175,,2020-10-16
394,3.96,4.0375,4.0425,3.935,,2020-10-15
395,3.91,3.965,3.975,3.88,,2020-10-14
396,3.89,3.9125,3.9275,3.88,,2020-10-13
397,3.955,3.89,3.9925,3.8725,,2020-10-12
398,3.87,3.95,3.9825,3.865,,2020-10-09
399,3.89,3.87,3.945,3.865,,2020-10-08
400,3.845,3.8875,3.92,3.84,,2020-10-07
401,3.785,3.85,3.8925,3.785,,2020-10-06
402,3.7875,3.795,3.825,3.7775,,2020-10-05
403,3.815,3.7975,3.8325,3.7725,,2020-10-02
404,3.79,3.8275,3.855,3.78,,2020-10-01
405,3.6425,3.79,3.8275,3.62,,2020-09-30
406,3.6675,3.6475,3.6775,3.61,,2020-09-29
407,3.6425,3.6675,3.6975,3.605,,2020-09-28
408,3.6325,3.6525,3.675,3.63,,2020-09-25
409,3.68,3.635,3.6825,3.63,,2020-09-24
410,3.6825,3.685,3.7025,3.6575,,2020-09-23
411,3.6975,3.6925,3.7325,3.6575,,2020-09-22
412,3.775,3.6975,3.7825,3.6825,,2020-09-21
413,3.7425,3.785,3.7925,3.7325,,2020-09-18
414,3.715,3.7525,3.7725,3.68,,2020-09-17
415,3.655,3.7175,3.72,3.6175,,2020-09-16
416,0.0,3.66,0.0,3.6525,,2020-09-15
417,3.6675,3.575,3.6675,3.59,,2020-09-14
418,3.555,3.65,3.66,3.555,,2020-09-11
419,3.4975,3.5725,3.5775,3.4975,,2020-09-10
420,3.4975,3.5,3.5125,3.485,,2020-09-09
421,3.48,3.51,3.53,3.46,,2020-09-08
422,3.44,3.4725,3.49,3.435,,2020-09-04
423,3.4975,3.445,3.5,3.4375,,2020-09-03
424,3.4925,3.4975,3.505,3.4525,,2020-09-02
425,3.4775,3.495,3.5,3.4325,,2020-09-01
426,3.4875,3.485,3.53,3.46,,2020-08-31
427,3.4325,3.46,3.4775,3.4075,,2020-08-28
428,3.4,3.4425,3.4475,3.39,,2020-08-27
429,3.4025,3.405,3.4125,3.3725,,2020-08-26
430,3.35,3.4075,3.415,3.3475,,2020-08-25
431,3.28,3.3175,3.325,3.275,,2020-08-24
432,3.2475,3.27,3.2775,3.2425,,2020-08-21
433,3.2425,3.245,3.2575,3.2075,,2020-08-20
434,3.26,3.25,3.2725,3.235,,2020-08-19
435,3.3,3.27,3.32,3.2575,,2020-08-18
436,3.27,3.31,3.31,3.265,,2020-08-17
437,3.245,3.245,3.2525,3.215,,2020-08-14
438,3.15,3.2525,3.275,3.1475,,2020-08-13
439,3.1125,3.145,3.15,3.08,,2020-08-12
440,3.1125,3.115,3.15,3.1025,,2020-08-11
441,3.075,3.105,3.1175,3.075,,2020-08-10
442,3.11,3.0775,3.1175,3.0725,,2020-08-07
443,3.105,3.1125,3.1275,3.095,,2020-08-06
444,3.09,3.11,3.1125,3.09,,2020-08-05
445,3.165,3.0825,3.1675,3.0825,,2020-08-04
446,3.15,3.175,3.1825,3.15,,2020-08-03
447,3.1575,3.16,3.175,3.145,,2020-07-31
448,3.155,3.1575,3.1925,3.1525,,2020-07-30
449,3.2,3.155,3.215,3.1525,,2020-07-29
450,3.23,3.2,3.235,3.2,,2020-07-28
451,3.2525,3.25,3.275,3.2325,,2020-07-27
452,3.28,3.2625,3.2975,3.255,,2020-07-24
453,3.2725,3.28,3.295,3.25,,2020-07-23
454,3.23,3.275,3.28,3.2225,,2020-07-22
455,3.2775,3.2275,3.2775,3.22,,2020-07-21
456,3.33,3.2825,3.335,3.26,,2020-07-20
457,3.3025,3.33,3.3475,3.3025,,2020-07-17
458,3.26,3.3025,3.3325,3.26,,2020-07-16
459,0.0,3.2625,3.2875,3.2275,,2020-07-15
460,3.34,3.3475,3.365,3.245,,2020-07-14
461,3.3725,3.34,3.3725,3.32,,2020-07-13
462,3.5025,3.405,3.52,3.4,,2020-07-10
463,3.49,3.5125,3.565,3.4825,,2020-07-09
464,3.435,3.4825,3.485,3.41,,2020-07-08
465,3.475,3.45,3.475,3.4175,,2020-07-07
466,3.4825,3.465,3.49,3.4525,,2020-07-06
467,3.475,3.425,3.5025,3.4225,,2020-07-02
468,3.385,3.4825,3.5125,3.375,,2020-07-01
469,3.2525,3.385,3.42,3.2375,,2020-06-30
470,3.1675,3.2625,3.265,3.16,,2020-06-29
471,3.17,3.17,3.1975,3.135,,2020-06-26
472,3.235,3.1725,3.2425,3.15,,2020-06-25
473,3.245,3.2425,3.29,3.2375,,2020-06-24
474,3.275,3.25,3.275,3.2125,,2020-06-23
475,3.32,3.2825,3.3225,3.28,,2020-06-22
476,3.2975,3.325,3.3375,3.275,,2020-06-19
477,3.2975,3.31,3.3375,3.2875,,2020-06-18
478,3.28,3.3025,3.3125,3.25,,2020-06-17
